output_id,phase,disease_id,locked_disease_label,public_disease,blinded_output_id,score_definition,human_updated_DGQC,expert_confirmed_CD,usable_draft,file_path,sha256,pages,pdf_title_metadata,topic_check,known_note
R1-OpenSAGE-loa_loa,Stage 1,R1D22,Loa Loa,Loa Loa,G26_Loa Loa.pdf,R1 formal rerating,60.11,no,no,outputs/opensage/Loa Loa.pdf,56411e9ccf039e835cfc697dc0d3721b8d032a5698d69df11ca56f68236ea703,10,Loa Loa.md,pass,
R1-OpenSAGE-low_back_pain,Stage 1,R1D23,Low Back Pain,Low Back Pain,G27_Low Back Pain.pdf,R1 formal rerating,83.43,no,yes,outputs/opensage/Low Back Pain.pdf,7b1b81441f72d92071e602b7899754e077db5382133a89fe64823b1b27c6fe5b,15,Low Back Pain.md,pass,
R1-OpenSAGE-malnutrition,Stage 1,R1D24,Malnutrition,Malnutrition,G29_Malnutrition.pdf,R1 formal rerating,76.73,no,yes,outputs/opensage/Malnutrition.pdf,541e0ea631fb24b4c6b8d63e2d8b0395963f5bf0797eb82bcd254e31bb4f09d1,16,Malnutrition.md,pass,
R1-OpenSAGE-marburg,Stage 1,R1D25,Marbug,Marburg,G30_Marbug.pdf,R1 formal rerating,70.40,no,yes,outputs/opensage/Marburg.pdf,197c23835bc0e4d3c67cf71bebffe8dc80de6869e9b1d614984a1d31c29164cc,14,Maternal Health.md,pass,Formerly mislabeled Maternal Health.pdf; scored Marburg body preserved without metadata rewrite.
R1-OpenSAGE-measles,Stage 1,R1D26,Measle,Measles,G32_Measle.pdf,R1 formal rerating,70.40,no,yes,outputs/opensage/Measles.pdf,27b77a29bdd52e8788dbc97408e90d0ce931678443d78a3d4ed43b5ac24ce40c,11,Measle.md,pass,
R1-OpenSAGE-mpox,Stage 1,R1D27,Mpox,Mpox,G35_Mpox.pdf,R1 formal rerating,82.64,no,yes,outputs/opensage/Mpox.pdf,edd266a769463bb0dad4bf946e3b3e77bf6fa4d4af27f76e8983d69fd375a763,16,Mpox,pass,
R1-OpenSAGE-newborn_neonatal_health,Stage 1,R1D28,Newborn_Neonatal Health,Newborn/Neonatal Health,G36_Newborn_Neonatal Health.pdf,R1 formal rerating,70.58,no,yes,outputs/opensage/Newborn_Neonatal Health.pdf,93cdb564354af37c3065dd2050c5672ddfec268551ba3da1999ea3efdc931194,14,Newborn_Neonatal Health,pass,
R1-OpenSAGE-obesity,Stage 1,R1D29,Obesity,Obesity,G37_Obesity.pdf,R1 formal rerating,74.94,no,yes,outputs/opensage/Obesity.pdf,f9988f2bd62da17603f6e54435c0daf8dc1525200c1fcb46a3f9bc3e8e3b033a,12,Obesity,pass,
R1-OpenSAGE-onchocerciasis,Stage 1,R1D30,Onchocerciasis,Onchocerciasis,G38_Onchocerciasis.pdf,R1 formal rerating,70.34,no,yes,outputs/opensage/Onchocerciasis.pdf,45d6cc298b64823044a821d6d5448ee3413d14f89475f3c2ecb0c88dc93a40bc,16,Onchocerciasis,pass,
R1-OpenSAGE-pneumonia,Stage 1,R1D31,Pneumonia,Pneumonia,G39_Pneumonia.pdf,R1 formal rerating,79.03,no,yes,outputs/opensage/Pneumonia.pdf,0add8d981f0be7c4602b80b6b597c86197c622187d5edbfa952720df2b70c7fa,12,Pneumonia.md,pass,Scored body retained with defensive wording caused by the locked prompt artifact.
R1-OpenSAGE-poisoning,Stage 1,R1D32,Poisoning,Poisoning,G40_Poisoning.pdf,R1 formal rerating,62.39,yes,no,outputs/opensage/Poisoning.pdf,d181ffadc4b3b0fe271f099affe48d749486575e3d8ece335dbd59b8265b65fa,16,Poisoning,pass,
R1-OpenSAGE-polio,Stage 1,R1D33,Polio,Polio,G41_Polio.pdf,R1 formal rerating,72.09,no,yes,outputs/opensage/Polio.pdf,31249a118922b30548c4c07e4cca335eaf8be656d44bed3a41caab104fbef1df,20,Polio,pass,
R1-OpenSAGE-rubella,Stage 1,R1D34,Rubella,Rubella,G42_Rubella.pdf,R1 formal rerating,70.43,no,yes,outputs/opensage/Rubella.pdf,84e8de080dd9cb0c80081ce58e22198234819e76a861448e297eea146cee02f0,25,Rubella,pass,
