Threshold,OpenSAGE full,Stage 1 OpenSAGE,Stage 2 OpenSAGE,Baseline R2
Final DGQC score >= 65,45/56 (80.4%),36/46 (78.3%),9/10 (90.0%),2/70 (2.9%)
Final DGQC score >= 70,43/56 (76.8%),35/46 (76.1%),8/10 (80.0%),0/70 (0.0%)
Final DGQC score >= 75,21/56 (37.5%),21/46 (45.7%),0/10 (0.0%),0/70 (0.0%)
