Item,n,Definition
Stage 1 OpenSAGE outputs,46,Non-comparative OpenSAGE analysis subset
Stage 2 OpenSAGE outputs,10,OpenSAGE outputs in the matched comparative subset
Stage 2 direct-generation outputs,70,Seven baseline systems across 10 diseases
Total blinded outputs,126,46 + 10 + 70
OpenSAGE full evaluation set,56,Stage 1: 46 + Stage 2: 10 OpenSAGE outputs
Comparative model evaluation set,80,10 diseases × 8 systems
Expert reviewers,12,Twelve expert reviewers participated in the common blinded rating round
Expert rating records,1512,"1,512 blinded ratings from one expert-rating round (46 x 12 + 80 x 12)"
Senior-review cases,91,Cases reviewed independently only for the critical-defect endpoint
