Disease,OpenSAGE final DGQC score,Pooled comparator final DGQC score,Final DGQC score difference
Abortion Care,72.50,33.55,38.95
COVID-19,74.72,27.80,46.92
HIV,72.08,28.80,43.28
Infertility,74.10,23.96,50.14
Malaria,74.72,28.76,45.96
Maternal Health,64.65,30.00,34.65
Meningitis,74.03,25.62,48.41
Mental Health Disorders,71.74,28.87,42.87
Substance Use Disorders,66.81,32.45,34.36
Tuberculosis,72.50,32.63,39.87
