Set,D1 raw mean,D2 raw mean,D3 raw mean,D4 raw mean,D5 raw mean,D6 raw mean,D7 raw mean
OpenSAGE full 56,5.51,5.33,4.9,5.42,4.94,5.97,5.77
Stage 1 OpenSAGE 46,5.45,5.37,4.94,5.46,4.95,5.98,5.77
Stage 2 OpenSAGE 10,5.78,5.12,4.71,5.2,4.85,5.92,5.77
