Model,n,Mean DGQC,Median DGQC,Expert-confirmed CD,Usable,Near-threshold,Mean rank,First-rank count,Last-rank count
OpenSAGE,10,71.78,72.5,0/10,8/10,2/10,1.0,10,0
GPT-5.5,10,52.24,50.76,2/10,0/10,4/10,2.1,0,0
Claude-Opus-4.7,10,36.81,34.58,9/10,0/10,0/10,3.1,0,0
Gemini-3.1-Pro,10,29.11,28.68,10/10,0/10,0/10,4.6,0,0
GLM-5.1,10,28.48,29.17,10/10,0/10,0/10,4.8,0,0
Deepseek-v4,10,25.04,24.38,10/10,0/10,0/10,5.8,0,0
Qwen-3.6-Plus,10,18.63,17.5,10/10,0/10,0/10,6.7,0,2
Doubao-2.0-Pro,10,14.4,13.33,10/10,0/10,0/10,7.7,0,8
